0290610070300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0290710071000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0290810071630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0290910080100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0291010080300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0291110081000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0291210081630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0291310090240UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0291410090300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0291510091000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0291610091630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0291810100100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0291910100300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0292010101000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0292110101630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0292210110100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0292310110300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0292410111000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0292510111630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0292610120100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0292710120300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0292810121000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0292910121630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0293010130100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0293110130300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0293210131001UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0293310131630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0293410140100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0293510140300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0293610141000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0293710141630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0293810150100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0293910150300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0294010151000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0294110151630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0294210160257UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0294310160300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0294410161000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0294510161630UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0294610170100UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0294710170300UTIL             1    36  0TNT FILES   0000000000000000000000000000000
0294810171000UTIL             1    36  0TNT FILES   0000000000000000000000000000000
